,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index
2044,1,87,30010000000.0,1,2240000.0,-177.70,3.36,1.0,501 to 1000 Employees,1996.0,$100 to $500 million (USD),0.0,5.0,0,NYSE
2045,1,119,16020000000.0,0,357570.0,44.40,17.12,3.9,1001 to 5000 Employees,1997.0,$100 to $500 million (USD),4.15,3.9,0,NASD
2046,1,111,621940000.0,1,24530.0,677.48,436.60,4.0,501 to 1000 Employees,2000.0,$100 to $500 million (USD),5.0,5.0,0,NYSE
2047,1,119,127730000.0,0,124760.0,46.50,262.50,3.9,51 to 200 Employees,1996.0,$25 to $50 million (USD),3.75,4.2,0,NASD
2048,1,82,230720000.0,0,98860.0,677.48,365.12,4.6,51 to 200 Employees,2004.0,$25 to $50 million (USD),4.35,5.0,0,NASD
2049,1,1,3730000000.0,1,457240.0,61.30,424.60,4.5,1001 to 5000 Employees,1981.0,$500 million to $1 billion (USD),4.65,4.9,0,NASD
2050,1,121,17780000.0,1,362590.0,1.70,0.00,3.4,201 to 500 Employees,2006.0,$50 to $100 million (USD),2.7,3.6,0,NASD
2051,1,37,193650000000.0,1,12880000.0,-28.00,352.50,4.2,10000+ Employees,1891.0,$10+ billion (USD),4.3,4.8,1,NYSE
2052,1,17,257760000.0,1,3890000.0,677.48,511.58,4.5,1 to 50 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NASD
2053,1,33,276730000.0,1,89530.0,-112.10,0.00,2.6,201 to 500 Employees,1997.0,$50 to $100 million (USD),1.65,1.65,0,NASD
2054,1,17,79300000000.0,0,9290000.0,70.60,436.60,4.2,1001 to 5000 Employees,2011.0,$50 to $100 million (USD),4.3,4.5,0,NASD
2055,1,84,9910000000.0,1,21020000.0,-409.20,-9.17,3.7,1001 to 5000 Employees,1887.0,$5 to $10 billion (USD),2.85,2.65,1,NYSE
2056,1,17,963610000.0,1,606250.0,50.20,436.60,4.4,51 to 200 Employees,2001.0,$100 to $500 million (USD),4.3,3.95,0,NASD
2057,1,136,1330000000.0,0,345680.0,13.10,10.56,3.4,1001 to 5000 Employees,1946.0,$500 million to $1 billion (USD),2.75,3.1,0,NASD
2058,0,17,856130000.0,0,191230.0,40.80,-17.30,3.9,1 to 50 Employees,1996.0,$100 to $500 million (USD),3.95,4.35,0,NASD
2059,1,17,11280000000.0,1,1440000.0,80.25,360.19,5.0,51 to 200 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NASD
2060,1,119,44210000000.0,0,9250000.0,455.87,324.50,4.0,5001 to 10000 Employees,1995.0,$2 to $5 billion (USD),4.05,4.75,0,NASD
2061,1,13,588090000.0,1,74820.0,-57.70,-6.09,3.7,1001 to 5000 Employees,1881.0,$5 to $10 billion (USD),3.2,4.6,0,NASD
2062,0,114,1180000000.0,0,1110.0,-885.90,0.00,3.7,10000+ Employees,1865.0,$10+ billion (USD),3.55,4.1,0,NYSE
2063,1,49,41350000000.0,0,336110.0,6.90,362.20,4.0,1001 to 5000 Employees,1969.0,$1 to $2 billion (USD),4.0,4.75,1,NYSE
2064,1,142,1460000000.0,1,91590.0,8.40,9.07,3.5,201 to 500 Employees,1897.0,$100 to $500 million (USD),3.85,4.35,0,NASD
2065,1,45,2040000000.0,1,300980.0,196.20,80.20,3.7,5001 to 10000 Employees,1996.0,$1 to $2 billion (USD),3.1,2.3,0,NYSE
2066,1,45,833380000.0,0,522110.0,18.60,-17.40,3.4,501 to 1000 Employees,1996.0,$500 million to $1 billion (USD),3.3,5.0,0,NYSE
2067,1,45,4099999999.9999995,0,183920.0,-152.50,136.10,3.7,5001 to 10000 Employees,1996.0,$1 to $2 billion (USD),3.1,2.3,0,NYSE
2068,1,26,35170000000.0,0,693460.0,10.30,10.84,3.9,10000+ Employees,1928.0,$5 to $10 billion (USD),3.8,4.55,1,NYSE
2069,1,60,4890000000.0,0,376190.0,-13.20,10.32,3.8,5001 to 10000 Employees,1941.0,$2 to $5 billion (USD),3.55,4.35,0,NYSE
2070,1,31,27040000.0,1,126680.0,455.87,999.45,5.0,1 to 50 Employees,1996.0,$25 to $50 million (USD),0.0,0.0,0,AMEX
2071,1,78,379550000.0,1,47950.0,-50.00,14.60,3.1,51 to 200 Employees,1996.0,$25 to $50 million (USD),2.25,0.6,0,NASD
2072,1,121,4280000000.0000005,0,369600.0,179.70,5.65,3.8,1001 to 5000 Employees,2007.0,$100 to $500 million (USD),3.9,4.25,0,NYSE
2073,1,121,6210000000.0,1,683350.0,-123.40,8.81,3.5,1001 to 5000 Employees,1989.0,$500 million to $1 billion (USD),3.3,2.85,0,NASD
2074,0,129,30720000000.0,0,5410000.0,73.50,-42.29,3.8,10000+ Employees,2006.0,$10+ billion (USD),3.85,4.25,0,NYSE
2075,1,13,18250000000.0,0,908690.0,-27.70,-1.39,3.7,10000+ Employees,1856.0,$5 to $10 billion (USD),3.6,4.55,1,NYSE
2076,1,56,119330000.0,0,91110.0,-198.10,57.90,3.1,201 to 500 Employees,2009.0,$25 to $50 million (USD),2.85,1.5,0,NASD
2077,1,70,41690000000.0,0,2040000.0,-3.80,26.55,2.8,1001 to 5000 Employees,2015.0,$100 to $500 million (USD),2.9,5.0,0,NASD
2078,1,35,30890000000.0,1,102460.0,10.90,9.23,3.8,10000+ Employees,1989.0,$2 to $5 billion (USD),3.95,5.0,1,NYSE
2079,1,84,3630000000.0,1,1570000.0,-781.60,22.24,2.0,51 to 200 Employees,1996.0,$100 to $500 million (USD),1.3,1.45,0,NYSE
2080,1,17,478430000.0,0,435480.0,90.40,-11.60,3.4,1 to 50 Employees,1996.0,Less than $1 million (USD),2.7,3.3,0,NASD
2081,1,59,53410000.0,0,6840.0,105.20,0.00,3.4,201 to 500 Employees,1994.0,$100 to $500 million (USD),3.1,2.5,0,NASD
2082,1,67,4550000000.0,1,2880000.0,-30.40,9.27,3.7,501 to 1000 Employees,1957.0,$1 to $2 billion (USD),3.2,4.0,0,NYSE
2083,1,113,3550000000.0,1,399860.0,71.40,424.60,4.3,1001 to 5000 Employees,1985.0,$2 to $5 billion (USD),4.2,4.6,0,NYSE
2084,0,121,1250000000.0,1,463030.0,-545.00,233.30,3.7,1001 to 5000 Employees,1990.0,$50 to $100 million (USD),3.4,4.55,0,NASD
2085,1,11,1600000000.0,1,544650.0,-2.90,74.24,3.7,5001 to 10000 Employees,2000.0,$2 to $5 billion (USD),3.25,2.55,0,NYSE
2086,1,89,1540000000.0,0,127150.0,-71.00,29.14,2.7,1001 to 5000 Employees,1931.0,$500 million to $1 billion (USD),2.7,2.35,0,NYSE
2087,1,85,288960000.0,0,163870.0,455.87,317.70,4.0,1001 to 5000 Employees,1984.0,$1 to $2 billion (USD),4.0,4.25,0,NASD
2088,1,119,4000000000.0,0,583280.0,88.20,13.39,3.4,1001 to 5000 Employees,1950.0,$100 to $500 million (USD),3.85,4.55,0,NASD
2089,0,130,13060000.0,1,1890000.0,-679.60,0.00,3.0,51 to 200 Employees,1996.0,$10 to $25 million (USD),0.0,2.4,0,NASD
2090,1,46,783820000.0,0,366210.0,-142.10,187.41,3.8,10000+ Employees,1902.0,$1 to $2 billion (USD),2.6,3.75,0,NYSE
2091,1,23,2570000000.0,0,133810.0,-13.10,11.09,3.1,1001 to 5000 Employees,1968.0,$1 to $2 billion (USD),2.4,3.65,0,NYSE
2092,1,44,7480000000.0,0,865400.0,-15.30,9.40,3.5,10000+ Employees,1994.0,$5 to $10 billion (USD),2.2,3.0,0,NYSE
2093,1,119,86230000000.0,0,19230000.0,-56.90,90.31,3.7,10000+ Employees,1978.0,$10+ billion (USD),3.45,4.1,1,NASD
