,Unnamed: 0,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index,this_next_EPS,recomend_rating
117,117,1,8,868460000.0,1,350070,199.3,-1.52,3.3,2,1990,0,2.75,5.0,0,1,197.78,6.05
118,118,1,1,1350000000.0,0,309120,70.5,72.06,3.4,2,1951,0,2.95,4.55,0,2,142.56,6.35
119,119,1,104,7370000000.0,0,715340,320.65,360.18699999999995,5.0,5,2020,0,5.0,5.0,0,2,680.837,10.0
120,120,1,26,223130000.0,0,86230,470.5,316.59,4.0,6,1996,6,5.0,5.0,0,1,787.0899999999999,9.0
121,121,1,1,38430000.0,0,569230,-140.1,100.0,1.7,3,1968,9,0.95,0.0,0,0,-40.099999999999994,2.65
122,122,1,69,64620000.0,0,9320,-119.1,123.6,4.1,5,1980,4,3.9,4.65,0,1,4.5,8.0
123,123,1,60,3290000000.0,1,153290,85.7,13.24,3.3,4,1923,5,3.15,3.25,0,2,98.94,6.449999999999999
124,124,1,104,1080000000.0,1,3240000,435.2,165.0,3.7,5,1997,4,3.6,5.0,0,2,600.2,7.300000000000001
125,125,1,67,9090000000.0,1,356800,14.7,17.79,3.6,1,1978,7,3.25,4.05,1,2,32.489999999999995,6.85
126,126,1,68,28130000000.0,1,1140000,19.4,5.85,3.6,1,1927,5,3.25,4.45,1,2,25.25,6.85
127,127,1,1,3850000000.0,0,656430,435.2,11.09,3.7,2,1942,4,3.6,2.9,0,2,446.28999999999996,7.300000000000001
128,128,1,122,18780000000.0,1,1430000,16.1,254.3,4.4,4,1998,5,4.6,4.9,1,1,270.40000000000003,9.0
129,129,1,17,592410000.0,1,3590000,435.2,254.3,4.3,3,2007,4,4.35,4.95,0,1,689.5,8.649999999999999
130,130,0,15,2120000000.0,0,29870,435.2,10.08,3.9,1,1946,5,4.1,5.0,0,2,445.28,8.0
131,131,1,105,1830000000.0,1,637830,435.2,400.0,3.5,6,1998,4,2.25,3.25,0,2,835.2,5.75
132,132,1,26,520770000.0,1,582580,435.2,30.7,3.5,0,1996,4,3.3,3.8,0,1,465.9,6.8
133,133,1,17,467280000.0,0,159940,25.2,498.5,4.5,0,1996,4,5.0,5.0,0,1,523.7,9.5
134,134,1,112,4780000000.0,0,729730,-13.6,37.16,1.6,6,1996,0,0.0,5.0,0,2,23.559999999999995,1.6
135,135,1,125,18180000000.0,1,987270,435.2,41.06,3.8,4,1994,5,3.7,4.25,1,2,476.26,7.5
136,136,0,80,35100000000.0,0,790890,85.6,19.2,3.9,1,1945,7,3.9,4.35,0,2,104.8,7.8
137,137,1,47,255190000.0,0,34670,-37.5,304.65,3.1,3,1996,4,3.1,5.0,0,1,267.15,6.2
138,138,1,138,3450000000.0,1,262350,435.2,462.1,4.5,2,1906,0,4.3,5.0,0,2,897.3,8.8
139,139,1,17,1680000000.0,1,665070,435.2,462.1,4.5,6,2013,4,5.0,5.0,0,1,897.3,9.5
140,140,1,98,1350000000.0,1,329510,117.9,44.44,3.6,5,1870,4,3.25,5.0,0,2,162.34,6.85
141,141,1,46,1700000000.0,1,33120,435.2,20.62,3.4,2,1969,0,2.65,3.3,0,2,455.82,6.05
142,142,1,119,5020000000.0,1,681740,435.2,26.53,3.6,2,1990,10,3.1,2.7,0,1,461.73,6.7
143,143,1,78,47660000000.0,1,562560,305.5,373.3,4.4,1,1997,0,4.3,4.9,1,1,678.8,8.7
144,144,1,3,3390000000.0,1,187880,435.2,777.2,4.3,2,1997,0,4.55,4.8,0,1,1212.4,8.85
145,145,1,57,5030000000.0,1,503340,48.7,28.9,3.4,5,2013,4,2.65,4.1,0,1,77.6,6.05
146,146,1,38,66220000.0,0,43050,52.3,405.2,4.0,6,2003,1,3.5,5.0,0,1,457.5,7.5
147,147,1,124,62830000.0,0,131050,435.2,285.63,4.6,2,1994,4,5.0,5.0,0,1,720.8299999999999,9.6
148,148,1,3,7810000000.0,0,1480000,435.2,365.9,4.0,1,1932,7,3.95,5.0,1,2,801.0999999999999,7.95
149,149,0,17,3940000000.0,1,1640000,44.2,84.39,3.8,2,1987,10,3.6,4.25,0,1,128.59,7.4
150,150,1,121,2980000000.0,0,358500,435.2,0.0,3.9,5,2009,9,3.65,4.4,0,1,435.2,7.55
151,151,1,65,37040000000.0,0,2010000,23.4,13.57,3.5,1,1931,3,2.8,3.1,1,2,36.97,6.3
152,152,0,117,12110000000.0,1,682750,85.7,9.09,3.8,1,2013,5,3.6,4.65,1,2,94.79,7.4
153,153,1,17,4840000000.0,1,197720,65.14,360.18699999999995,5.0,6,1996,4,5.0,5.0,0,1,425.32699999999994,10.0
154,154,1,17,3420000000.0,1,1150000,85.7,668.4780000000001,4.6,6,1996,4,5.0,5.0,0,1,754.1780000000001,9.6
155,155,0,26,719830000.0,1,219840,85.7,123.6,4.4,5,1996,4,4.55,4.55,0,1,209.3,8.95
156,156,1,33,18080000000.0,0,3890000,34.12,285.63,4.2,4,1919,7,4.15,4.6,0,2,319.75,8.350000000000001
157,157,1,17,71500000.0,0,653110,-52.7,-21.2,2.8,6,1996,4,3.05,3.05,0,1,-73.9,5.85
158,158,1,17,20570000000.0,0,518340,8.0,471.95,4.4,2,2003,4,4.45,4.65,0,1,479.95,8.850000000000001
159,159,1,27,105060000.0,0,29300,85.7,0.0,3.3,3,1969,9,2.9,3.45,0,1,85.7,6.199999999999999
160,160,1,121,4070000000.0,0,301140,43.5,13.84,3.4,1,1858,3,2.75,3.35,0,1,57.34,6.15
161,161,1,17,107570000.0,1,862260,49.3,320.5,4.0,0,1996,8,5.0,5.0,0,1,369.8,9.0
162,162,1,13,562770000.0,1,29510,48.6,498.5,4.2,5,1879,4,4.2,4.55,0,1,547.1,8.4
163,163,1,130,179150000.0,0,289470,85.7,0.0,3.9,5,1998,4,3.95,5.0,0,1,85.7,7.85
164,164,1,11,4180000000.0,0,930610,85.7,24.4,3.6,2,1915,5,3.0,3.25,0,2,110.1,6.6
165,165,1,17,601170000.0,1,1420000,85.7,6.1,3.0,0,1996,11,0.0,5.0,0,1,91.8,3.0
166,166,1,13,778180000.0,1,90900,85.7,7.77,3.4,3,1913,9,3.15,0.0,0,1,93.47,6.55
167,167,1,112,438260000.0,0,108060,108.9,334.8,3.7,5,1984,4,4.0,4.6,0,2,443.70000000000005,7.7
168,168,1,122,4830000000.0,1,277330,-36.0,285.63,4.2,2,1985,4,4.2,4.65,0,1,249.63,8.4
169,169,0,11,8300000000.0,0,412080,85.7,25.32,3.7,1,1996,7,3.8,4.5,0,2,111.02000000000001,7.5
170,170,1,105,1400000000.0,0,17190,-30.2,498.5,4.1,6,1996,4,3.75,5.0,0,2,468.3,7.85
171,171,1,17,40130000000.0,1,2060000,85.7,5.35,3.8,2,1992,5,2.85,3.55,1,1,91.05,6.65
172,172,1,118,120000000000.0,1,10230000,38.2,373.3,4.0,1,1967,3,4.05,4.55,1,1,411.5,8.05
173,173,1,118,3410000000.0,1,440020,85.7,410.8,4.0,5,2004,4,3.95,4.35,0,1,496.5,7.95
174,174,1,67,720200000.0,0,305490,-101.5,-115.6,2.8,3,1991,10,2.1,3.6,0,2,-217.1,4.9
175,175,1,104,12410000000.0,1,1850000,85.7,23.13,3.9,2,2012,10,3.6,4.05,0,2,108.83,7.5
176,176,1,8,1870000000.0,0,71840,21.1,18.36,3.6,5,1996,4,3.2,3.6,0,2,39.46,6.800000000000001
177,177,1,119,5480000000.0,0,1600000,177.3,4.7,3.4,1,1968,5,2.35,3.95,0,1,182.0,5.75
178,178,1,77,4440000000.0,1,303790,39.2,4.7,3.8,2,1985,0,3.8,4.35,0,2,43.900000000000006,7.6
179,179,1,13,357730000.0,1,19640,37.9,-649.6,4.1,3,1909,9,5.0,5.0,0,1,-611.7,9.1
180,180,1,41,500440000.0,1,41700,85.7,29.57,3.5,2,1962,4,2.75,3.5,0,1,115.27000000000001,6.25
181,181,1,8,27300000000.0,0,670330,85.7,6.3,3.8,1,1894,3,3.75,4.45,1,2,92.0,7.55
182,182,1,38,950210000.0,0,176860,-97.1,39.46,2.8,2,1996,4,1.6,2.1,0,1,-57.63999999999999,4.4
183,183,1,84,139430000.0,1,597640,85.7,195.0,3.8,3,1996,4,2.5,5.0,0,2,280.7,6.3
184,184,1,25,383290000.0,1,215840,85.7,385.2,4.0,4,1996,4,5.0,5.0,0,2,470.9,9.0
